stationName,Address,City,State,postalCode,Lat,Long,Charger type,Charger type (legend),stationModel,StationNetworkStatus,LastPortStatus,faultReason,station_label,ports_total,ports_charging,ports_occupied,ports_available,StatusTimestamp,_loaded_at_utc
NYC FLEET / DEP_HUDRIVPUMP2,199 River Rd N,Wappingers Falls,New York,12590,41.561198,-73.9572743,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:29:26Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEPNRVWWTP10_L3,735 W 135th St,New York,New York,10031,40.82167382592532,-73.95791422698363,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,INUSE,NONE,Charging,1,1,0,0,2026-02-03T18:27:16Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_HNTSPT_1_L3,1270 Ryawa Avenue,The Bronx,New York,10474,40.804493727469,-73.884698203148,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:30:06Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_HNTSPT_2_L3,1270 Ryawa Avenue,The Bronx,New York,10474,40.804658361753,-73.885045271164,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:29:53Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_MARGWW#1,41158 New York 28,Margaretville,New York,12455,42.139233351719,-74.653802255092,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:24:55Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_121PCT#1,970 Richmond Ave,Staten Island,New York,10314,40.62366835678802,-74.15003236375428,Level 2,Level 2,CPF50-L18,Reachable,INUSE,NONE,Occupied,1,0,1,0,2026-02-03T18:28:17Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_121PCT#2,970 Richmond Ave,Staten Island,New York,10314,40.62366021357505,-74.15056880555726,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:28:17Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_121PCT#3,970 Sanders St,Staten Island,New York,10314,40.62366835678802,-74.15079411111451,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:27:45Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_121PCT#4,970 Richmond Ave,Staten Island,New York,10314,40.62366021357505,-74.15019329629517,Level 2,Level 2,CPF50-L18,Reachable,INUSE,NONE,Available,1,0,0,1,2026-02-03T18:27:45Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_121PCT#5,970 Richmond Ave,Staten Island,New York,10314,40.62362764071328,-74.14988216004944,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:27:45Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_121PCT#6,970 Richmond Ave,Staten Island,New York,10314,40.623635783930204,-74.15024694047547,Level 2,Level 2,CPF50,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:27:45Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / FDNY_BFIBK#1,5600 1st Ave,Brooklyn,New York,11220,40.64955863954405,-74.02440137116393,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:27:48Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_PRTRCH_5_L3,1801 Richmond Terrace,Staten Island,New York,10310,40.637273115479,-74.124415574508,Level 3,Level 3,CPE250C-500-CHD-CCS1,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:30:02Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DPRWFMARNA_1_L3,1 Marina Road,Queens,New York,11369,40.760610670245,-73.856970458895,Level 3,Level 3 - Public Stations,CPE250C-500-CCS1-CHD,Reachable,NEEDS SERVICE,Power System Failed,Available,1,0,0,1,2026-02-03T18:23:20Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_KNGSTN_1_L3,71 Smith Avenue,Kingston,New York,12401,41.930180103269,-73.999622846091,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:31:54Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_73PCT_3_L3,1470 East New York Avenue,Brooklyn,New York,11212,40.67033,-73.914375,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:31:58Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYPD_73PCT_4_L3,1470 East New York Avenue,Brooklyn,New York,11212,40.67067,-73.91353,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,INUSE,NONE,Occupied,1,0,1,0,2026-02-03T18:29:21Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOE_715OCNTER#1,715 Ocean Terrace,Staten Island,New York,10301,40.60842327777439,-74.10476986085204,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:29:04Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOE_715OCNTER#2,715 Ocean Terrace,Staten Island,New York,10301,40.60832553685289,-74.10509172593383,Level 2,Level 2,CPF50-L18,Reachable,INUSE,NONE,Available,1,0,0,1,2026-02-03T18:29:04Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / FDNY9METROTECH1,307 Bridge St,Brooklyn,New York,11201,40.69449951978331,-73.9848259674591,Level 2,Level 2,CPF50-L18,Reachable,INUSE,NONE,Charging,1,1,0,0,2026-02-03T18:23:42Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / FDNY9METROTECH2,15 MetroTech Center,Brooklyn,New York,11201,40.6941415977147,-73.98458993306579,Level 2,Level 2,CPF50-L18,Reachable,INUSE,NONE,Charging,1,1,0,0,2026-02-03T18:23:42Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / FDNY9METROTECH4,15 MetroTech Center,Brooklyn,New York,11201,40.69415786694136,-73.98420369496765,Level 2,Level 2,CPF50-L18,Reachable,INUSE,NONE,Occupied,1,0,1,0,2026-02-03T18:23:42Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_7WARDS#1,7 Ward's Island Bridge,New York,New York,10035,40.792626,-73.92243429999999,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:25:02Z,2026-02-03T18:33:15.790551+00:00
